Vivado Simulator 2017.2
Time resolution is 1 ps
it=xxxx, x=xxxxxxxxxxxxxxxx, z0=0000000000000000
it=0011, x=0000000000000000, z0=0000000000000000
it=0100, x=0011111111000001, z0=0000000000000000
it=0100, x=0001111111100000, z0=0000000000000000
it=0100, x=0000111111110000, z0=0000000000000000
it=0100, x=0000011111111000, z0=0000000000000000
it=0100, x=0000001111111100, z0=0000000000000000
it=0100, x=0000000111111110, z0=0000000000000000
it=0100, x=0000000011111111, z0=0000000000000000
it=0100, x=0000000001111111, z0=0000000000000000
it=0100, x=0000000000111111, z0=0000000000000000
it=0100, x=0000000000011111, z0=0000000000000000
it=0100, x=0000000000001111, z0=0000000000000000
it=0100, x=0000000000000111, z0=0000000000000000
it=0100, x=0000000000000011, z0=0000000000000000
it=0100, x=0000000000000001, z0=0000000000000000
it=0100, x=0000000000000000, z0=0000000000000000
it=0101, x=0011111111110010, z0=0000000000000000
it=0101, x=0001111111111001, z0=0000000000000000
it=0101, x=0000111111111100, z0=0000000000000000
it=0101, x=0000011111111110, z0=0000000000000000
it=0101, x=0000001111111111, z0=0000000000000000
it=0101, x=0000000111111111, z0=0000000000000000
it=0101, x=0000000011111111, z0=0000000000000000
it=0101, x=0000000001111111, z0=0000000000000000
it=0101, x=0000000000111111, z0=0000000000000000
it=0101, x=0000000000011111, z0=0000000000000000
it=0101, x=0000000000001111, z0=0000000000000000
it=0101, x=0000000000000111, z0=0000000000000000
it=0101, x=0000000000000011, z0=0000000000000000
it=0101, x=0000000000000001, z0=0000000000000000
it=0101, x=0000000000000000, z0=0000000000000000
it=0110, x=0011111111111001, z0=0000000000000000
it=0110, x=0001111111111100, z0=0000000000000000
it=0110, x=0000111111111110, z0=0000000000000000
it=0110, x=0000011111111111, z0=0000000000000000
it=0110, x=0000001111111111, z0=0000000000000000
it=0110, x=0000000111111111, z0=0000000000000000
it=0110, x=0000000011111111, z0=0000000000000000
it=0110, x=0000000001111111, z0=0000000000000000
it=0110, x=0000000000111111, z0=0000000000000000
it=0110, x=0000000000011111, z0=0000000000000000
it=0110, x=0000000000001111, z0=0000000000000000
it=0110, x=0000000000000111, z0=0000000000000000
it=0110, x=0000000000000011, z0=0000000000000000
it=0110, x=0000000000000001, z0=0000000000000000
it=0110, x=0000000000000000, z0=0000000000000000
it=0111, x=0011111111111110, z0=0000000000000000
it=0111, x=0001111111111111, z0=0000000000000000
it=0111, x=0000111111111111, z0=0000000000000000
it=0111, x=0000011111111111, z0=0000000000000000
it=0111, x=0000001111111111, z0=0000000000000000
it=0111, x=0000000111111111, z0=0000000000000000
it=0111, x=0000000011111111, z0=0000000000000000
it=0111, x=0000000001111111, z0=0000000000000000
it=0111, x=0000000000111111, z0=0000000000000000
it=0111, x=0000000000011111, z0=0000000000000000
it=0111, x=0000000000001111, z0=0000000000000000
it=0111, x=0000000000000111, z0=0000000000000000
it=0111, x=0000000000000011, z0=0000000000000000
it=0111, x=0000000000000001, z0=0000000000000000
it=0111, x=0000000000000000, z0=0000000000000000
it=1000, x=0011111111111111, z0=0000000000000000
it=1000, x=0001111111111111, z0=0000000000000000
it=1000, x=0000111111111111, z0=0000000000000000
it=1000, x=0000011111111111, z0=0000000000000000
it=1000, x=0000001111111111, z0=0000000000000000
it=1000, x=0000000111111111, z0=0000000000000000
it=1000, x=0000000011111111, z0=0000000000000000
it=1000, x=0000000001111111, z0=0000000000000000
it=1000, x=0000000000111111, z0=0000000000000000
it=1000, x=0000000000011111, z0=0000000000000000
it=1000, x=0000000000001111, z0=0000000000000000
it=1000, x=0000000000000111, z0=0000000000000000
it=1000, x=0000000000000011, z0=0000000000000000
it=1000, x=0000000000000001, z0=0000000000000000
it=1000, x=0000000000000000, z0=0000000000000000
it=1001, x=0011111111111111, z0=0000000000000000
it=1001, x=0001111111111111, z0=0000000000000000
it=1001, x=0000111111111111, z0=0000000000000000
it=1001, x=0000011111111111, z0=0000000000000000
it=1001, x=0000001111111111, z0=0000000000000000
it=1001, x=0000000111111111, z0=0000000000000000
it=1001, x=0000000011111111, z0=0000000000000000
it=1001, x=0000000001111111, z0=0000000000000000
it=1001, x=0000000000111111, z0=0000000000000000
it=1001, x=0000000000011111, z0=0000000000000000
it=1001, x=0000000000001111, z0=0000000000000000
it=1001, x=0000000000000111, z0=0000000000000000
it=1001, x=0000000000000011, z0=0000000000000000
it=1001, x=0000000000000001, z0=0000000000000000
it=1001, x=0000000000000000, z0=0000000000000000
it=1010, x=0011111111111111, z0=0000000000000000
it=1010, x=0001111111111111, z0=0000000000000000
it=1010, x=0000111111111111, z0=0000000000000000
it=1010, x=0000011111111111, z0=0000000000000000
it=1010, x=0000001111111111, z0=0000000000000000
it=1010, x=0000000111111111, z0=0000000000000000
it=1010, x=0000000011111111, z0=0000000000000000
it=1010, x=0000000001111111, z0=0000000000000000
it=1010, x=0000000000111111, z0=0000000000000000
it=1010, x=0000000000011111, z0=0000000000000000
it=1010, x=0000000000001111, z0=0000000000000000
it=1010, x=0000000000000111, z0=0000000000000000
it=1010, x=0000000000000011, z0=0000000000000000
it=1010, x=0000000000000001, z0=0000000000000000
it=1010, x=0000000000000000, z0=0000000000000000
it=1011, x=0011111111111111, z0=0000000000000000
it=1011, x=0001111111111111, z0=0000000000000000
it=1011, x=0000111111111111, z0=0000000000000000
it=1011, x=0000011111111111, z0=0000000000000000
it=1011, x=0000001111111111, z0=0000000000000000
it=1011, x=0000000111111111, z0=0000000000000000
it=1011, x=0000000011111111, z0=0000000000000000
it=1011, x=0000000001111111, z0=0000000000000000
it=1011, x=0000000000111111, z0=0000000000000000
it=1011, x=0000000000011111, z0=0000000000000000
it=1011, x=0000000000001111, z0=0000000000000000
it=1011, x=0000000000000111, z0=0000000000000000
it=1011, x=0000000000000011, z0=0000000000000000
it=1011, x=0000000000000001, z0=0000000000000000
it=1011, x=0000000000000000, z0=0000000000000000
it=1100, x=0011111111111111, z0=0000000000000000
it=1100, x=0001111111111111, z0=0000000000000000
it=1100, x=0000111111111111, z0=0000000000000000
it=1100, x=0000011111111111, z0=0000000000000000
it=1100, x=0000001111111111, z0=0000000000000000
it=1100, x=0000000111111111, z0=0000000000000000
it=1100, x=0000000011111111, z0=0000000000000000
it=1100, x=0000000001111111, z0=0000000000000000
it=1100, x=0000000000111111, z0=0000000000000000
it=1100, x=0000000000011111, z0=0000000000000000
it=1100, x=0000000000001111, z0=0000000000000000
it=1100, x=0000000000000111, z0=0000000000000000
it=1100, x=0000000000000011, z0=0000000000000000
it=1100, x=0000000000000001, z0=0000000000000000
it=1100, x=0000000000000000, z0=0000000000000000
it=1101, x=0011111111111111, z0=0000000000000000
it=1101, x=0011111111111111, z0=0110010010001000
it=0000, x=0010011011011101, z0=0110010010001000
it=0000, x=0001001101101110, z0=0110010010001000
it=0000, x=0000100110110111, z0=0110010010001000
it=0000, x=0000010011011011, z0=0110010010001000
it=0000, x=0000001001101101, z0=0110010010001000
it=0000, x=0000000100110110, z0=0110010010001000
it=0000, x=0000000010011011, z0=0110010010001000
it=0000, x=0000000001001101, z0=0110010010001000
it=0000, x=0000000000100110, z0=0110010010001000
it=0000, x=0000000000010011, z0=0110010010001000
it=0000, x=0000000000001001, z0=0110010010001000
it=0000, x=0000000000000100, z0=0110010010001000
it=0000, x=0000000000000010, z0=0110010010001000
it=0000, x=0000000000000001, z0=0110010010001000
it=0000, x=0000000000000000, z0=0110010010001000
it=0001, x=0010011011011101, z0=0110010010001000
it=0001, x=0001001101101110, z0=0110010010001000
it=0001, x=0000100110110111, z0=0110010010001000
it=0001, x=0000010011011011, z0=0110010010001000
it=0001, x=0000001001101101, z0=0110010010001000
it=0001, x=0000000100110110, z0=0110010010001000
it=0001, x=0000000010011011, z0=0110010010001000
it=0001, x=0000000001001101, z0=0110010010001000
it=0001, x=0000000000100110, z0=0110010010001000
it=0001, x=0000000000010011, z0=0110010010001000
it=0001, x=0000000000001001, z0=0110010010001000
it=0001, x=0000000000000100, z0=0110010010001000
it=0001, x=0000000000000010, z0=0110010010001000
it=0001, x=0000000000000001, z0=0110010010001000
it=0001, x=0000000000000000, z0=0110010010001000
it=0010, x=0001001101101111, z0=0110010010001000
it=0010, x=0000100110110111, z0=0110010010001000
it=0010, x=0000010011011011, z0=0110010010001000
it=0010, x=0000001001101101, z0=0110010010001000
it=0010, x=0000000100110110, z0=0110010010001000
it=0010, x=0000000010011011, z0=0110010010001000
it=0010, x=0000000001001101, z0=0110010010001000
it=0010, x=0000000000100110, z0=0110010010001000
it=0010, x=0000000000010011, z0=0110010010001000
it=0010, x=0000000000001001, z0=0110010010001000
it=0010, x=0000000000000100, z0=0110010010001000
it=0010, x=0000000000000010, z0=0110010010001000
it=0010, x=0000000000000001, z0=0110010010001000
it=0010, x=0000000000000000, z0=0110010010001000
it=0011, x=0000010011011101, z0=0110010010001000
it=0011, x=0000001001101110, z0=0110010010001000
it=0011, x=0000000100110111, z0=0110010010001000
it=0011, x=0000000010011011, z0=0110010010001000
it=0011, x=0000000001001101, z0=0110010010001000
it=0011, x=0000000000100110, z0=0110010010001000
it=0011, x=0000000000010011, z0=0110010010001000
it=0011, x=0000000000001001, z0=0110010010001000
it=0011, x=0000000000000100, z0=0110010010001000
it=0011, x=0000000000000010, z0=0110010010001000
it=0011, x=0000000000000001, z0=0110010010001000
it=0011, x=0000000000000000, z0=0110010010001000
it=0100, x=1111110011111001, z0=0110010010001000
it=0100, x=1111111001111100, z0=0110010010001000
it=0100, x=1111111100111110, z0=0110010010001000
it=0100, x=1111111110011111, z0=0110010010001000
it=0100, x=1111111111001111, z0=0110010010001000
it=0100, x=1111111111100111, z0=0110010010001000
it=0100, x=1111111111110011, z0=0110010010001000
it=0100, x=1111111111111001, z0=0110010010001000
it=0100, x=1111111111111100, z0=0110010010001000
it=0100, x=1111111111111110, z0=0110010010001000
it=0100, x=1111111111111111, z0=0110010010001000
it=0101, x=0000000011110101, z0=0110010010001000
it=0101, x=0000000001111010, z0=0110010010001000
it=0101, x=0000000000111101, z0=0110010010001000
it=0101, x=0000000000011110, z0=0110010010001000
it=0101, x=0000000000001111, z0=0110010010001000
it=0101, x=0000000000000111, z0=0110010010001000
it=0101, x=0000000000000011, z0=0110010010001000
it=0101, x=0000000000000001, z0=0110010010001000
it=0101, x=0000000000000000, z0=0110010010001000
it=0110, x=1111111011110110, z0=0110010010001000
it=0110, x=1111111101111011, z0=0110010010001000
it=0110, x=1111111110111101, z0=0110010010001000
it=0110, x=1111111111011110, z0=0110010010001000
it=0110, x=1111111111101111, z0=0110010010001000
it=0110, x=1111111111110111, z0=0110010010001000
it=0110, x=1111111111111011, z0=0110010010001000
it=0110, x=1111111111111101, z0=0110010010001000
it=0110, x=1111111111111110, z0=0110010010001000
it=0110, x=1111111111111111, z0=0110010010001000
it=0111, x=1111111111110101, z0=0110010010001000
it=0111, x=1111111111111010, z0=0110010010001000
it=0111, x=1111111111111101, z0=0110010010001000
it=0111, x=1111111111111110, z0=0110010010001000
it=0111, x=1111111111111111, z0=0110010010001000
it=1000, x=0000000001110100, z0=0110010010001000
it=1000, x=0000000000111010, z0=0110010010001000
it=1000, x=0000000000011101, z0=0110010010001000
it=1000, x=0000000000001110, z0=0110010010001000
it=1000, x=0000000000000111, z0=0110010010001000
it=1000, x=0000000000000011, z0=0110010010001000
it=1000, x=0000000000000001, z0=0110010010001000
it=1000, x=0000000000000000, z0=0110010010001000
it=1001, x=0000000000110101, z0=0110010010001000
it=1001, x=0000000000011010, z0=0110010010001000
it=1001, x=0000000000001101, z0=0110010010001000
it=1001, x=0000000000000110, z0=0110010010001000
it=1001, x=0000000000000011, z0=0110010010001000
it=1001, x=0000000000000001, z0=0110010010001000
it=1001, x=0000000000000000, z0=0110010010001000
it=1010, x=0000000000010110, z0=0110010010001000
it=1010, x=0000000000001011, z0=0110010010001000
it=1010, x=0000000000000101, z0=0110010010001000
it=1010, x=0000000000000010, z0=0110010010001000
it=1010, x=0000000000000001, z0=0110010010001000
it=1010, x=0000000000000000, z0=0110010010001000
it=1011, x=0000000000000111, z0=0110010010001000
it=1011, x=0000000000000011, z0=0110010010001000
it=1011, x=0000000000000001, z0=0110010010001000
it=1011, x=0000000000000000, z0=0110010010001000
it=1100, x=0000000000000000, z0=0110010010001000
it=1101, x=0000000000000011, z0=0110010010001000
it=1101, x=0000000000000011, z0=0010000110000011
it=0000, x=0010011011011101, z0=0010000110000011
it=0000, x=0001001101101110, z0=0010000110000011
it=0000, x=0000100110110111, z0=0010000110000011
it=0000, x=0000010011011011, z0=0010000110000011
it=0000, x=0000001001101101, z0=0010000110000011
it=0000, x=0000000100110110, z0=0010000110000011
it=0000, x=0000000010011011, z0=0010000110000011
it=0000, x=0000000001001101, z0=0010000110000011
it=0000, x=0000000000100110, z0=0010000110000011
it=0000, x=0000000000010011, z0=0010000110000011
it=0000, x=0000000000001001, z0=0010000110000011
it=0000, x=0000000000000100, z0=0010000110000011
it=0000, x=0000000000000010, z0=0010000110000011
it=0000, x=0000000000000001, z0=0010000110000011
it=0000, x=0000000000000000, z0=0010000110000011
it=0001, x=0010011011011101, z0=0010000110000011
it=0001, x=0001001101101110, z0=0010000110000011
it=0001, x=0000100110110111, z0=0010000110000011
it=0001, x=0000010011011011, z0=0010000110000011
it=0001, x=0000001001101101, z0=0010000110000011
it=0001, x=0000000100110110, z0=0010000110000011
it=0001, x=0000000010011011, z0=0010000110000011
it=0001, x=0000000001001101, z0=0010000110000011
it=0001, x=0000000000100110, z0=0010000110000011
it=0001, x=0000000000010011, z0=0010000110000011
it=0001, x=0000000000001001, z0=0010000110000011
it=0001, x=0000000000000100, z0=0010000110000011
it=0001, x=0000000000000010, z0=0010000110000011
it=0001, x=0000000000000001, z0=0010000110000011
it=0001, x=0000000000000000, z0=0010000110000011
it=0010, x=0011101001001011, z0=0010000110000011
it=0010, x=0001110100100101, z0=0010000110000011
it=0010, x=0000111010010010, z0=0010000110000011
it=0010, x=0000011101001001, z0=0010000110000011
it=0010, x=0000001110100100, z0=0010000110000011
it=0010, x=0000000111010010, z0=0010000110000011
it=0010, x=0000000011101001, z0=0010000110000011
it=0010, x=0000000001110100, z0=0010000110000011
it=0010, x=0000000000111010, z0=0010000110000011
it=0010, x=0000000000011101, z0=0010000110000011
it=0010, x=0000000000001110, z0=0010000110000011
it=0010, x=0000000000000111, z0=0010000110000011
it=0010, x=0000000000000011, z0=0010000110000011
it=0010, x=0000000000000001, z0=0010000110000011
it=0010, x=0000000000000000, z0=0010000110000011
it=0011, x=0011010101110000, z0=0010000110000011
it=0011, x=0001101010111000, z0=0010000110000011
it=0011, x=0000110101011100, z0=0010000110000011
it=0011, x=0000011010101110, z0=0010000110000011
it=0011, x=0000001101010111, z0=0010000110000011
it=0011, x=0000000110101011, z0=0010000110000011
it=0011, x=0000000011010101, z0=0010000110000011
it=0011, x=0000000001101010, z0=0010000110000011
it=0011, x=0000000000110101, z0=0010000110000011
it=0011, x=0000000000011010, z0=0010000110000011
it=0011, x=0000000000001101, z0=0010000110000011
it=0011, x=0000000000000110, z0=0010000110000011
it=0011, x=0000000000000011, z0=0010000110000011
it=0011, x=0000000000000001, z0=0010000110000011
it=0011, x=0000000000000000, z0=0010000110000011
it=0100, x=0011100110110000, z0=0010000110000011
it=0100, x=0001110011011000, z0=0010000110000011
it=0100, x=0000111001101100, z0=0010000110000011
it=0100, x=0000011100110110, z0=0010000110000011
it=0100, x=0000001110011011, z0=0010000110000011
it=0100, x=0000000111001101, z0=0010000110000011
it=0100, x=0000000011100110, z0=0010000110000011
it=0100, x=0000000001110011, z0=0010000110000011
it=0100, x=0000000000111001, z0=0010000110000011
it=0100, x=0000000000011100, z0=0010000110000011
it=0100, x=0000000000001110, z0=0010000110000011
it=0100, x=0000000000000111, z0=0010000110000011
it=0100, x=0000000000000011, z0=0010000110000011
it=0100, x=0000000000000001, z0=0010000110000011
it=0100, x=0000000000000000, z0=0010000110000011
it=0101, x=0011011111111011, z0=0010000110000011
it=0101, x=0001101111111101, z0=0010000110000011
it=0101, x=0000110111111110, z0=0010000110000011
it=0101, x=0000011011111111, z0=0010000110000011
it=0101, x=0000001101111111, z0=0010000110000011
it=0101, x=0000000110111111, z0=0010000110000011
it=0101, x=0000000011011111, z0=0010000110000011
it=0101, x=0000000001101111, z0=0010000110000011
it=0101, x=0000000000110111, z0=0010000110000011
it=0101, x=0000000000011011, z0=0010000110000011
it=0101, x=0000000000001101, z0=0010000110000011
it=0101, x=0000000000000110, z0=0010000110000011
it=0101, x=0000000000000011, z0=0010000110000011
it=0101, x=0000000000000001, z0=0010000110000011
it=0101, x=0000000000000000, z0=0010000110000011
it=0110, x=0011011100000100, z0=0010000110000011
it=0110, x=0001101110000010, z0=0010000110000011
it=0110, x=0000110111000001, z0=0010000110000011
it=0110, x=0000011011100000, z0=0010000110000011
it=0110, x=0000001101110000, z0=0010000110000011
it=0110, x=0000000110111000, z0=0010000110000011
it=0110, x=0000000011011100, z0=0010000110000011
it=0110, x=0000000001101110, z0=0010000110000011
it=0110, x=0000000000110111, z0=0010000110000011
it=0110, x=0000000000011011, z0=0010000110000011
it=0110, x=0000000000001101, z0=0010000110000011
it=0110, x=0000000000000110, z0=0010000110000011
it=0110, x=0000000000000011, z0=0010000110000011
it=0110, x=0000000000000001, z0=0010000110000011
it=0110, x=0000000000000000, z0=0010000110000011
it=0111, x=0011011110000110, z0=0010000110000011
it=0111, x=0001101111000011, z0=0010000110000011
it=0111, x=0000110111100001, z0=0010000110000011
it=0111, x=0000011011110000, z0=0010000110000011
it=0111, x=0000001101111000, z0=0010000110000011
it=0111, x=0000000110111100, z0=0010000110000011
it=0111, x=0000000011011110, z0=0010000110000011
it=0111, x=0000000001101111, z0=0010000110000011
it=0111, x=0000000000110111, z0=0010000110000011
it=0111, x=0000000000011011, z0=0010000110000011
it=0111, x=0000000000001101, z0=0010000110000011
it=0111, x=0000000000000110, z0=0010000110000011
it=0111, x=0000000000000011, z0=0010000110000011
it=0111, x=0000000000000001, z0=0010000110000011
it=0111, x=0000000000000000, z0=0010000110000011
it=1000, x=0011011101000111, z0=0010000110000011
it=1000, x=0001101110100011, z0=0010000110000011
it=1000, x=0000110111010001, z0=0010000110000011
it=1000, x=0000011011101000, z0=0010000110000011
it=1000, x=0000001101110100, z0=0010000110000011
it=1000, x=0000000110111010, z0=0010000110000011
it=1000, x=0000000011011101, z0=0010000110000011
it=1000, x=0000000001101110, z0=0010000110000011
it=1000, x=0000000000110111, z0=0010000110000011
it=1000, x=0000000000011011, z0=0010000110000011
it=1000, x=0000000000001101, z0=0010000110000011
it=1000, x=0000000000000110, z0=0010000110000011
it=1000, x=0000000000000011, z0=0010000110000011
it=1000, x=0000000000000001, z0=0010000110000011
it=1000, x=0000000000000000, z0=0010000110000011
it=1001, x=0011011101100111, z0=0010000110000011
it=1001, x=0001101110110011, z0=0010000110000011
it=1001, x=0000110111011001, z0=0010000110000011
it=1001, x=0000011011101100, z0=0010000110000011
it=1001, x=0000001101110110, z0=0010000110000011
it=1001, x=0000000110111011, z0=0010000110000011
it=1001, x=0000000011011101, z0=0010000110000011
it=1001, x=0000000001101110, z0=0010000110000011
it=1001, x=0000000000110111, z0=0010000110000011
it=1001, x=0000000000011011, z0=0010000110000011
it=1001, x=0000000000001101, z0=0010000110000011
it=1001, x=0000000000000110, z0=0010000110000011
it=1001, x=0000000000000011, z0=0010000110000011
it=1001, x=0000000000000001, z0=0010000110000011
it=1001, x=0000000000000000, z0=0010000110000011
it=1010, x=0011011101110111, z0=0010000110000011
it=1010, x=0001101110111011, z0=0010000110000011
it=1010, x=0000110111011101, z0=0010000110000011
it=1010, x=0000011011101110, z0=0010000110000011
it=1010, x=0000001101110111, z0=0010000110000011
it=1010, x=0000000110111011, z0=0010000110000011
it=1010, x=0000000011011101, z0=0010000110000011
it=1010, x=0000000001101110, z0=0010000110000011
it=1010, x=0000000000110111, z0=0010000110000011
it=1010, x=0000000000011011, z0=0010000110000011
it=1010, x=0000000000001101, z0=0010000110000011
it=1010, x=0000000000000110, z0=0010000110000011
it=1010, x=0000000000000011, z0=0010000110000011
it=1010, x=0000000000000001, z0=0010000110000011
it=1010, x=0000000000000000, z0=0010000110000011
it=1011, x=0011011101110000, z0=0010000110000011
it=1011, x=0001101110111000, z0=0010000110000011
it=1011, x=0000110111011100, z0=0010000110000011
it=1011, x=0000011011101110, z0=0010000110000011
it=1011, x=0000001101110111, z0=0010000110000011
it=1011, x=0000000110111011, z0=0010000110000011
it=1011, x=0000000011011101, z0=0010000110000011
it=1011, x=0000000001101110, z0=0010000110000011
it=1011, x=0000000000110111, z0=0010000110000011
it=1011, x=0000000000011011, z0=0010000110000011
it=1011, x=0000000000001101, z0=0010000110000011
it=1011, x=0000000000000110, z0=0010000110000011
it=1011, x=0000000000000011, z0=0010000110000011
it=1011, x=0000000000000001, z0=0010000110000011
it=1011, x=0000000000000000, z0=0010000110000011
it=1100, x=0011011101101101, z0=0010000110000011
it=1100, x=0001101110110110, z0=0010000110000011
it=1100, x=0000110111011011, z0=0010000110000011
it=1100, x=0000011011101101, z0=0010000110000011
it=1100, x=0000001101110110, z0=0010000110000011
it=1100, x=0000000110111011, z0=0010000110000011
it=1100, x=0000000011011101, z0=0010000110000011
it=1100, x=0000000001101110, z0=0010000110000011
it=1100, x=0000000000110111, z0=0010000110000011
it=1100, x=0000000000011011, z0=0010000110000011
it=1100, x=0000000000001101, z0=0010000110000011
it=1100, x=0000000000000110, z0=0010000110000011
it=1100, x=0000000000000011, z0=0010000110000011
it=1100, x=0000000000000001, z0=0010000110000011
it=1100, x=0000000000000000, z0=0010000110000011
it=1101, x=0011011101101111, z0=0010000110000011
it=1101, x=0011011101101111, z0=1101111001111101
it=0000, x=0010011011011101, z0=1101111001111101
it=0000, x=0001001101101110, z0=1101111001111101
it=0000, x=0000100110110111, z0=1101111001111101
it=0000, x=0000010011011011, z0=1101111001111101
it=0000, x=0000001001101101, z0=1101111001111101
it=0000, x=0000000100110110, z0=1101111001111101
it=0000, x=0000000010011011, z0=1101111001111101
it=0000, x=0000000001001101, z0=1101111001111101
it=0000, x=0000000000100110, z0=1101111001111101
it=0000, x=0000000000010011, z0=1101111001111101
it=0000, x=0000000000001001, z0=1101111001111101
it=0000, x=0000000000000100, z0=1101111001111101
it=0000, x=0000000000000010, z0=1101111001111101
it=0000, x=0000000000000001, z0=1101111001111101
it=0000, x=0000000000000000, z0=1101111001111101
it=0001, x=0010011011011101, z0=1101111001111101
it=0001, x=0001001101101110, z0=1101111001111101
it=0001, x=0000100110110111, z0=1101111001111101
it=0001, x=0000010011011011, z0=1101111001111101
it=0001, x=0000001001101101, z0=1101111001111101
it=0001, x=0000000100110110, z0=1101111001111101
it=0001, x=0000000010011011, z0=1101111001111101
it=0001, x=0000000001001101, z0=1101111001111101
it=0001, x=0000000000100110, z0=1101111001111101
it=0001, x=0000000000010011, z0=1101111001111101
it=0001, x=0000000000001001, z0=1101111001111101
it=0001, x=0000000000000100, z0=1101111001111101
it=0001, x=0000000000000010, z0=1101111001111101
it=0001, x=0000000000000001, z0=1101111001111101
it=0001, x=0000000000000000, z0=1101111001111101
it=0010, x=0011101001001100, z0=1101111001111101
it=0010, x=0001110100100110, z0=1101111001111101
it=0010, x=0000111010010011, z0=1101111001111101
it=0010, x=0000011101001001, z0=1101111001111101
it=0010, x=0000001110100100, z0=1101111001111101
it=0010, x=0000000111010010, z0=1101111001111101
it=0010, x=0000000011101001, z0=1101111001111101
it=0010, x=0000000001110100, z0=1101111001111101
it=0010, x=0000000000111010, z0=1101111001111101
it=0010, x=0000000000011101, z0=1101111001111101
it=0010, x=0000000000001110, z0=1101111001111101
it=0010, x=0000000000000111, z0=1101111001111101
it=0010, x=0000000000000011, z0=1101111001111101
it=0010, x=0000000000000001, z0=1101111001111101
it=0010, x=0000000000000000, z0=1101111001111101
it=0011, x=0011010101110000, z0=1101111001111101
it=0011, x=0001101010111000, z0=1101111001111101
it=0011, x=0000110101011100, z0=1101111001111101
it=0011, x=0000011010101110, z0=1101111001111101
it=0011, x=0000001101010111, z0=1101111001111101
it=0011, x=0000000110101011, z0=1101111001111101
it=0011, x=0000000011010101, z0=1101111001111101
it=0011, x=0000000001101010, z0=1101111001111101
it=0011, x=0000000000110101, z0=1101111001111101
it=0011, x=0000000000011010, z0=1101111001111101
it=0011, x=0000000000001101, z0=1101111001111101
it=0011, x=0000000000000110, z0=1101111001111101
it=0011, x=0000000000000011, z0=1101111001111101
it=0011, x=0000000000000001, z0=1101111001111101
it=0011, x=0000000000000000, z0=1101111001111101
it=0100, x=0011100110110001, z0=1101111001111101
it=0100, x=0001110011011000, z0=1101111001111101
it=0100, x=0000111001101100, z0=1101111001111101
it=0100, x=0000011100110110, z0=1101111001111101
it=0100, x=0000001110011011, z0=1101111001111101
